algorithm,position,score_rank,score,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
entity-overlap-v3,293,230,483.0,173157358,felixhill84,Felix Hill,12455,483,0.1915906386354621,unknown,,,,Followed by 483 of 2521 complete active Registry entities.
entity-overlap-v3,294,230,483.0,3448284313,omarsar0,elvis,310916,483,0.1915906386354621,unknown,,,,Followed by 483 of 2521 complete active Registry entities.
entity-overlap-v3,314,241,469.0,16017475,natesilver538,Nate Silver,3029791,469,0.18603728679095596,unknown,,,,Followed by 469 of 2521 complete active Registry entities.
entity-overlap-v3,321,243,467.0,113130846,ycombinator,Y Combinator,1623504,467,0.18524395081316938,unknown,,,,Followed by 467 of 2521 complete active Registry entities.
entity-overlap-v3,330,248,462.0,1504845539468263451,byjohnnylee,Johnny Lee,30416,462,0.1832606108687029,unknown,,,,Followed by 462 of 2521 complete active Registry entities.
entity-overlap-v3,333,250,460.0,1526643050,slatestarcodex,Scott Alexander,166098,460,0.1824672748909163,unknown,,,,Followed by 460 of 2521 complete active Registry entities.
entity-overlap-v3,337,253,457.0,16242081,bhorowitz,benahorowitz.eth,729335,457,0.18127727092423643,unknown,,,,Followed by 457 of 2521 complete active Registry entities.
entity-overlap-v3,342,256,452.0,64844802,a16z,a16z,1022379,452,0.17929393097976992,unknown,,,,Followed by 452 of 2521 complete active Registry entities.
entity-overlap-v3,356,262,445.0,11766442,dennybritz,Denny Britz,47133,445,0.17651725505751686,unknown,,,,Followed by 445 of 2521 complete active Registry entities.
entity-overlap-v3,359,264,443.0,254107028,tensorflow,TensorFlow,376812,443,0.17572391907973026,unknown,,,,Followed by 443 of 2521 complete active Registry entities.
entity-overlap-v3,360,265,442.0,1173552893003255808,yacinemtb,kache,321297,442,0.17532725109083697,unknown,,,,Followed by 442 of 2521 complete active Registry entities.
entity-overlap-v3,365,269,438.0,8496762,tylercowen,tylercowen,352826,438,0.17374057913526378,unknown,,,,Followed by 438 of 2521 complete active Registry entities.
entity-overlap-v3,367,270,437.0,3452911,kevinweil,Kevin Weil 🇺🇸,121254,437,0.1733439111463705,unknown,,,,Followed by 437 of 2521 complete active Registry entities.
entity-overlap-v3,380,277,428.0,1577241403,levelsio,@levelsio,915139,428,0.16977389924633082,unknown,,,,Followed by 428 of 2521 complete active Registry entities.
entity-overlap-v3,393,281,424.0,20844341,patio11,Patrick McKenzie,196363,424,0.16818722729075763,unknown,,,,Followed by 424 of 2521 complete active Registry entities.
entity-overlap-v3,394,281,424.0,192201556,teortaxestex,Teortaxes▶️ (DeepSeek 推特🐋铁粉 2023 – ∞),69387,424,0.16818722729075763,unknown,,,,Followed by 424 of 2521 complete active Registry entities.
entity-overlap-v3,401,283,421.0,17468569,bryan_johnson,Bryan Johnson,1674704,421,0.16699722332407774,unknown,,,,Followed by 421 of 2521 complete active Registry entities.
entity-overlap-v3,408,286,418.0,9445792,zoink,Dylan Field,265990,418,0.16580721935739787,unknown,,,,Followed by 418 of 2521 complete active Registry entities.
